brand,name,desc,category,servingSize,servingSizeUnit,calories,fat,carbs,protein,Calories_100g,Total_Fat_100g,Carbohydrates_100g,Protein_100g
Sbarro,"1 Slice, Sicilian Sausage & Pepperoni Pizza","1 Slice, Sicilian Sausage & Pepperoni Pizza w/ Zesty Pepperoni, Seasoned Italian Sausage & 100% Whole Milk Mozzarella, Sicilian, Slice & Whole",Pizza,,,850,44,76,35,,,,
Sbarro,"1 Slice, XTreme Pepperoni NY Pizza","1 Slice, XTreme Pepperoni NY Pizza w/ 100% Whole Milk Mozzarella, Hand Made Dough & Pepperoni, XL NY Pizza, Slice & Whole",Pizza,,,620,32,53,27,,,,
Chipotle,1 Soft Flour Tortilla,"1 Soft Flour Tortilla, Tortillas, for Burritos",ToppingsIngredients,3.5,oz,300,10,46,7,302,10,46,7
Chipotle,"1 Soft Flour Tortilla, Kids","1 Soft Flour Tortilla, Kids, Tortillas, for Kids Cheese Quesadilla",ToppingsIngredients,1,oz,85,2.5,13,2,300,9,46,7
On the Border,1 Southwest Chicken Taco,"1 Southwest Chicken Taco, Daily Specials, Tuesday; Choice In: Taco Fix Tuesdays",Sandwiches,,,340,20,24,16,,,,
Chili's,1 Spicy Shrimp Taco,"1 Spicy Shrimp Taco w/out Sides, Top Shelf Tacos, Tacos & Quesadillas",Sandwiches,,,270,16,22,10,,,,
Sbarro,"1 Stromboli, Sausage, Pepperoni & Bacon Stromboli","1 Stromboli w/ Seasoned Italian Sausage, Crispy Bacon & Zesty Pepperoni, Stromboli",Entrees,367,g,870,47,72,37,237,13,20,10
Sbarro,"1 Stromboli, Spinach Stromboli","1 Stromboli w/ Fresh Spinach, 100% Whole Milk Mozzarella & Made From Scratch Dough, Stromboli",Entrees,376,g,740,37,74,29,197,10,20,8
Pizza Hut,1 Stuffed Garlic Knot,"1 Stuffed Garlic Knot w/ Cheese, Garlic Buttery Blend, Parmesan & Italian Herbs, also called New Stuffed Garlic Knows, Sides",AppetizersSides,,,80,3,11,3,,,,
Pizza Hut,1 Stuffed Pizza Roller,"1 Stuffed Pizza Roller, Sides",AppetizersSides,,,240,10,27,9,,,,
Jack in the Box,1 Taco,"1 Taco, Snacks & Sides",Sandwiches,81,g,172,9,16,6,212,11,20,7
Bojangles,"1 Thigh, Chicken","1 Thigh, Chicken",Entrees,,,257,17,10,17,,,,
Pizza Hut,"1 Traditional Bone In Wing, Buffalo Burnin Hot","1 Traditional Bone In Wing, Buffalo Burnin Hot, Wingstreet Wings",AppetizersSides,,,100,4.5,5,9,,,,
Pizza Hut,"1 Traditional Bone In Wing, Buffalo Medium","1 Traditional Bone In Wing, Buffalo Medium, Wingstreet Wings",AppetizersSides,,,100,4.5,5,9,,,,
Pizza Hut,"1 Traditional Bone In Wing, Buffalo Mild","1 Traditional Bone In Wing, Buffalo Mild, Wingstreet Wings",AppetizersSides,,,100,4.5,5,9,,,,
Pizza Hut,"1 Traditional Bone In Wing, Cajun Rub","1 Traditional Bone In Wing, Cajun Rub, WingStreet Wings",AppetizersSides,,,80,4.5,,9,,,,
Pizza Hut,"1 Traditional Bone In Wing, Garlic Parmesan","1 Traditional Bone In Wing, Garlic Parmesan, Wingstreet Wings",AppetizersSides,,,140,11,,10,,,,
Pizza Hut,"1 Traditional Bone In Wing, Hawaiian Teriyaki","1 Traditional Bone In Wing, Hawaiian Teriyaki, WingStreet Wings",AppetizersSides,,,100,4.5,4,10,,,,
Pizza Hut,"1 Traditional Bone In Wing, Honey BBQ","1 Traditional Bone In Wing, Honey BBQ, Wingstreet Wings",AppetizersSides,,,120,4.5,10,9,,,,
Pizza Hut,"1 Traditional Bone In Wing, Lemon Pepper Rub","1 Traditional Bone In Wing, Lemon Pepper Rub, WingStreet Wings",AppetizersSides,,,80,4.5,,9,,,,
Pizza Hut,"1 Traditional Bone In Wing, Naked","1 Traditional Bone In Wing, Naked, Wingstreet Wings",AppetizersSides,,,80,4.5,0,9,,,,
Pizza Hut,"1 Traditional Bone In Wing, Old Bay Seasoning","1 Traditional Bone In Wing, Old Bay Seasoning, WingStreet Wings",AppetizersSides,,,90,4.5,0,9,,,,
Pizza Hut,"1 Traditional Bone In Wing, Ranch Rub","1 Traditional Bone In Wing, Ranch Rub, WingStreet Wings",AppetizersSides,,,80,4.5,,9,,,,
Pizza Hut,"1 Traditional Bone In Wing, Spicy Garlic","1 Traditional Bone In Wing, Spicy Garlic, WingStreet Wings",AppetizersSides,,,120,8,3,9,,,,
IHOP,1 Turkey Bacon,"1 Turkey Bacon, Substitutions, All You Can Eat Pancakes & Seasonal Offerings",AppetizersSides,,,35,2.5,0,2,,,,
Bob Evans,1 Turkey Sausage Link,"1 Turkey Sausage Link, Breakfast Meats, Sides, Breakfast",AppetizersSides,,,70,4,0,4,,,,
IHOP,1 Turkey Sausage Link,"1 Turkey Sausage Link, Substitutions, All You Can Eat Pancakes & Seasonal Offerings",AppetizersSides,,,45,3.5,0,4,,,,
IHOP,1 Turkey Sausage Patty,"1 Turkey Sausage Patty, Substitutions, All You Can Eat Pancakes & Seasonal Offerings",AppetizersSides,,,70,5,0,6,,,,
Pizza Hut,1 Twisty Cheese Stick,"1 Twisty Cheese Stick, Sides",AppetizersSides,,,430,14,59,14,,,,
Bojangles,"1 Wing, Chicken","1 Wing, Chicken",AppetizersSides,,,138,9,7,8,,,,
Chick-Fil-A,1% Chocolate Milk,"1% Chocolate Milk, Drinks",Beverages,,,150,2.5,25,7,,,,
Wendy's,"1% Chocolate Milk, Kids","1% Chocolate Milk, Kids, Wendy's Kids Meals",Beverages,,,150,2.5,26,7,,,,
Bob Evans,"1% Chocolate Milk, Large","1% Chocolate Milk, Large, Beverages",Beverages,,,290,4,52,13,,,,
Bob Evans,"1% Chocolate Milk, Regular","1% Chocolate Milk, Regular, Beverages",Beverages,,,150,2,27,7,,,,
Carl's Jr.,1% Fat Milk,"1% Fat Milk, Beverages, 10 oz",Beverages,10,fl oz,150,3,18,14,53,1,6,5
Olive Garden,1% Low Fat Chocolate Milk,"1% Low Fat Chocolate Milk, Kids Beverages, Kids Selections",Beverages,,,180,2.5,31,10,,,,
Burger King,"1% Low Fat Chocolate Milk, 8 fl oz","1% Low Fat Chocolate Milk, King JR Meals, Kids Meals, Beverages By Cup Size, Beverages, Kids & Adults Menu, 8 fl oz",Beverages,8,fl oz,160,2.5,26,8,71,1,11,4
Olive Garden,1% Low Fat Milk,"1% Low Fat Milk, Kids Beverages, Kids Selections",Beverages,,,100,2.5,12,8,,,,
McDonald's,1% Low Fat Milk Jug,"1% Low Fat Milk Jug, Drinks, Kids, Kids & Adults Menu",Beverages,,,100,2.5,12,8,,,,
White Castle,"1% Low Fat Milk, May Vary By Location","1% Low Fat Milk, May Vary By Location, Sides & Drinks, Milk & Bottled Water",Beverages,8,fl oz,110,3,13,8,49,1,6,4
Friendly's,1% Milk,"1% Milk, Beverages, $9.99 CombOH!s, Kids Drinks, Kids",Beverages,,,120,3,14,9,,,,
LongHorn Steakhouse,1% Milk Chug,"1% Milk Chug, Children's Menu, Kids",Beverages,,,110,2.5,13,9,,,,
Wawa,"1% Milk, 16 oz","1% Milk, 16 oz, Milk, Packaged Wawa Beverages, Wawa Milk, Dairy",Beverages,16,oz,200,4.5,24,16,44,1,5,4
Round Table Pizza,"1% Milk, 8 oz","1% Milk, Beverages, Non Alcoholic, 8 oz",Beverages,8,oz,120,2.5,14,11,53,1,6,5
Friendly's,"1% Milk, Kids","1% Milk, Drinks, Kids Drinks, Kids",Beverages,,,160,4,19,12,,,,
Red Lobster,"1% Milk, Kids","1% Milk, Kids, Kids Menu",Beverages,,,110,2.5,13,9,,,,
Wendy's,"1% Milk, Kids","1% Milk, Kids, Wendy's Kid's Meals",Beverages,,,90,2,,7,,,,
Jason's Deli,1/2 Amy's Turkey O,"1/2 Amy's Turkey O on Onion Bun w/ Roasted Turkey Breast, Jalapeno Pepper Jack Cheese, Leafy Lettuce, Red Onion Rings, Roma Tomato Slice, Sliced Avocado, Stone Ground Mustard & Swiss Cheese, Half Sandwich, Specialty Sandwiches, Sandwiches, Sodium Conscious Menu; Choice of Adding: Baked Chips, Chips or Side Salad Bar",Sandwiches,,,240,8,28,14,,,,
IHOP,1/2 Belgian Waffle,"1/2 Belgian Waffle, Main Item, Made For Fun Kids, Sugar & Spice 2017; Choice in: Create Your Rooty Jr",Entrees,,,230,10,30,5,,,,
Einstein Bros,1/2 Berry Goodness Bagel Topper,"1/2 Berry Goodness Bagel Topper on Plain Bagel, Bagel Toppers; Choice of: Bagel",ToppingsIngredients,111,g,250,6,44,6,225,5,40,5
TGI Friday's,1/2 BLT & Avocado w/ Fries,"1/2 BLT & Avocado w/ Fries, Friday's Lunch",Sandwiches,,,620,29,50,25,,,,
Jason's Deli,1/2 California Club,"1/2 California Club on All Butter Croissant w/ Roasted Turkey Breast, Sliced Bacon, Swiss Cheese, Organic Field Greens, Tomato Slice, Guacamole & Mayonnaise, Half Sandwich, Clubs, Sandwiches, Sodium Conscious Menu; Choice of Adding: Baked Chips, Chips or Side Salad Bar",Sandwiches,,,310,19,20,15,,,,
TGI Friday's,1/2 California Club w/ Fries,"1/2 California Club w/ Fries, Friday's Lunch",Sandwiches,,,560,27,53,27,,,,
Jason's Deli,1/2 Chicago Club,"1/2 Chicago Club on Focaccia Bread w/ Smoked Turkey Breast, Sliced Bacon, Smoked Provolone Cheese, Organic Spinach, Roma Tomato Slice & Chipotle Aioli, Half Sandwich, Clubs; Choice of Adding: Baked Chips, Chips or Side Salad Bar",Sandwiches,,,290,15,23,15,,,,
Jason's Deli,1/2 Chicken Panini,"1/2 Chicken Panini on French Bread w/ Grilled Chicken Breast, Smoked Provolone Cheese, Basil Pesto, Roma Tomato Slice, Organic Spinach & Olive Oil Blend Bread, Half Sandwich, Paninis; Choice of Adding: Baked Chips, Chips or Side Salad Bar",Sandwiches,,,350,18,25,22,,,,
Bonefish Grill,1/2 Chicken Wrap,"1/2 Chicken Wrap, Lunch Combinations, Lunch",Sandwiches,,,417,26,22,24,,,,
LongHorn Steakhouse,1/2 Chilled Roast Beef Sandwich,"1/2 Chilled Roast Beef Sandwich, Lunch Combinations",Sandwiches,,,470,30,23,28,,,,
Jason's Deli,1/2 Club Royale,"1/2 Club Royale on All Butter Croissant w/ Roasted Turkey Breast, Sliced Bacon, Premium Ham, Cheddar & Swiss Cheese, Leafy Lettuce, Tomato Slice & Honey Mustard, Half Sandwich, Clubs; Choice of Adding: Baked Chips, Chips or Side Salad Bar",Sandwiches,,,340,18,21,24,,,,
Jason's Deli,1/2 Deli Club,"1/2 Deli Club on Whole Grain Wheat Bread w/ Roasted Turkey Breast, Sliced Bacon, Premium Ham, Cheddar & Swiss Cheese, Leafy Lettuce, Tomato Slice & Mayonnaise, Half Sandwich, Clubs; Choice of Adding: Baked Chips, Chips or Side Salad Bar",Sandwiches,,,350,19,24,26,,,,
McAlister's Deli,1/2 Gambino's Muffuletta Bread,"1/2 Gambino's Muffuletta Bread, Big & Bold Sandwiches, Sandwiches",ToppingsIngredients,,,830,15,151,21,,,,
Hardee's,1/2 lb Bacon Cheese Thickburger,"1/2 lb Bacon Cheese Thickburger, Thickburgers & Sandwiches",Burgers,414,g,1110,76,55,53,268,18,13,13
Del Taco,1/2 lb Bean & Cheese Burrito w/ Green Sauce,"1/2 lb Bean & Cheese Burrito in a Flour Tortilla w/ Green Sauce, Beans & Cheddar Cheese, Buck & Under Menu, Burritos; Choice of Adding: Fries & Drink",Sandwiches,242,g,450,10,70,21,186,4,29,9
Del Taco,1/2 lb Bean & Cheese Burrito w/ Red Sauce,"1/2 lb Bean & Cheese Burrito in a Flour Tortilla w/ Red Sauce, Cheddar Cheese & Beans, Buck & Under, Burritos",Sandwiches,242,g,470,10,69,21,194,4,29,9
Carl's Jr.,1/2 lb Budweiser Beer Cheese Bacon Thickburger,"1/2 lb Budweiser Beer Cheese Bacon Thickburger on a Toasted Premium Bun w/ Beef Patty, Budweiser Beer Cheese Sauce, Bacon Strips, Grilled Onions, Lettuce & Tomato, Charbroiled Burgers",Burgers,423,g,990,62,52,56,234,15,12,13
Dairy Queen,1/2 lb Cheese GrillBurger Combo,"1/2 lb Cheese GrillBurger Combo w/ 1/2 lb GrillBurger, Cheese, Tomato, Lettuce, Pickles, Onions, Ketchup, Mayo, Regular Fries & 21 oz Diet Coke, Combos",Burgers,,,980,57,66,49,,,,
Hardee's,1/2 lb Cheeseburger,"1/2 lb Cheeseburger, Thickburgers & Sandwiches",Burgers,324,g,850,52,56,45,262,16,17,14
Checker's Drive-In/Rallys,1/2 lb Chicken Bites,"1/2 lb Chicken Bites, Tender & Juicy Chicken, Chicken & Fish",Entrees,,,760,48,40,24,,,,
Dairy Queen,1/2 lb Flame Thrower GrillBurger Combo,"1/2 lb Flame Thrower GrillBurger Combo w/ 1/2 lb Flame Thrower GrillBurger, Fiery Flamethrower Sauce, Pepper Jack Cheese, Jalapeno Bacon, Tomato, Lettuce, 21 oz Diet Coke, Regular Fries, Combos",Burgers,,,1150,76,63,53,,,,
Hardee's,1/2 lb Frisco Thickburger,"1/2 lb Frisco Thickburger, Thickburgers & Sandwiches",Burgers,366,g,1060,75,47,56,290,20,13,15
Carl's Jr.,1/2 lb Low Carb Thickburger,"1/2 lb Low Carb Thickburger in an Iceberg Whole Leaf Lettuce w/ Black Angus Beef Patty, 2 Slices of American Cheese, 2 Slices of Tomato, Red Onions, Dill Pickles, Mustard, Mayonnaise & Ketchup, Low Carb It, Better for You Options, Charbroiled Burgers",Burgers,330,g,670,56,9,33,203,17,3,10
Hardee's,1/2 lb Mushroom & Swiss Thickburger,"1/2 lb Mushroom & Swiss Thickburger, Thickburgers & Sandwiches",Burgers,333,g,890,56,53,47,267,17,16,14
Hardee's,1/2 lb Original Thickburger,"1/2 lb Original Thickburger, Thickburgers & Sandwiches",Burgers,424,g,1030,70,57,45,243,17,13,11
Joe's Crab Shack,1/2 lb Shrimp,"1/2 lb Shrimp, Add Ons, Food",Entrees,,,200,1,18,41,,,,
Joe's Crab Shack,"1/2 lb Shrimp, Lower Sodium","1/2 lb Shrimp, Lower Sodium, Add Ons, Food",Entrees,,,200,1,2,41,,,,
Red Lobster,1/2 Lobster & Langostino Pizza,"1/2 Lobster & Langostino Pizza, Lobster Lovers Lunch, Limited Time",Pizza,,,350,17,27,23,,,,
Jason's Deli,1/2 MeataBalla Sandwich,"1/2 MeataBalla Sandwich on French Bread w/ Meatballs, Smoked Provolone Cheese & Marinara Sauce, Half Sandwich, Specialty Sandwiches; Choice of Adding: Baked Chips, Chips or Side Salad Bar",Sandwiches,,,560,35,31,29,,,,
Einstein Bros,1/2 Nutty Monkey Bagel Topper,"1/2 Nutty Monkey Bagel Topper on Plain Bagel, Bagel Toppers; Choice of: Bagel",ToppingsIngredients,82,g,270,9,41,7,329,11,50,9
Jason's Deli,1/2 Pot Roast Melt,"1/2 Pot Roast Melt on French Bread w/ Pot Roast, Smoked Provolone Cheese & Chipotle Aioli, Half Sandwich, Specialty Sandwiches; Choice of Adding: Baked Chips, Chips or Side Salad Bar",Sandwiches,,,380,18,22,31,,,,
Jason's Deli,1/2 Santa Fe Chicken Sandwich,"1/2 Santa Fe Chicken Sandwich on Whole Grain Wheat Bread w/ Natural Grilled Chicken Breast, Sliced Bacon, Guacamole, Swiss Cheese & Thousand Island Dressing, Half Sandwich, Specialty Sandwiches; Choice of Adding: Baked Chips, Chips or Side Salad Bar",Sandwiches,,,350,16,26,25,,,,
Jason's Deli,"1/2 Sliced Avocado, for Whole Sandwich","1/2 Sliced Avocado, for Whole Sandwich, Build Your Own Sandwich",ToppingsIngredients,,,120,11,6,1,,,,
Bob Evans,1/2 Slow Roasted Turkey Bacon Melt,"1/2 Slow Roasted Turkey Bacon Melt on Sourdough Bread w/ American Cheese, Tomato & Bacon, Sandwiches, Burgers & Sandwiches; Choice of Adding: Fries or Coleslaw",Sandwiches,,,270,12,24,16,,,,
Jason's Deli,1/2 Smokey Jack Panini,"1/2 Smokey Jack Panini on French Bread w/ Jalapeno Pepper Jack Cheese, Sliced Bacon, Smoked Turkey Breast, Roma Tomato Slice, Guacamole, Thousand Island Dressing & Olive Oil Blend, Half Sandwich, Paninis; Choice of Adding: Baked Chips, Chips or Side Salad Bar",Sandwiches,,,370,20,29,23,,,,
Einstein Bros,1/2 Spicy Devil Bagel Topper,"1/2 Spicy Devil Bagel Topper on Plain Bagel, Bagel Toppers; Choice of: Bagel",ToppingsIngredients,90,g,230,8,31,7,256,9,34,8
Einstein Bros,1/2 The Herbivore Bagel Topper,"1/2 The Herbivore Bagel Topper on Plain Bagel, Bagel Toppers; Choice of: Bagel",ToppingsIngredients,115,g,190,5,31,6,165,4,27,5
Einstein Bros,"1/2 The Herbivore Bagel Topper, License Locations Only","1/2 The Herbivore Bagel Topper on Plain Bagel, Bagel Toppers; Choice of: Bagel",ToppingsIngredients,115,g,190,5,31,6,165,4,27,5
Jason's Deli,1/2 Tuna Melt Sandwich,"1/2 Tuna Melt on Whole Grain Wheat Bread w/ Homemade Tuna Salad & Eggs, Swiss Cheese, Tomato Slice & Mayonnaise, Half Sandwich, Specialty Sandwiches, Sandwiches, Sodium Conscious Menu; Choice of Adding: Baked Chips, Chips or Side Salad Bar",Sandwiches,,,430,26,28,26,,,,
Jason's Deli,1/2 Turkey Wrap,"1/2 Turkey Wrap on Organic Wheat Wrap w/ Roasted Turkey Breast, Roma Tomato Slice, Organic Field Greens, Guacamole & Ranch Dressing, Half Wrap, Wraps, Sandwiches, Sodium Conscious Menu; Choice of Adding: Baked Chips, Chips or Side Salad Bar",Sandwiches,,,200,8,21,11,,,,
Hardee's,1/3 lb Bacon 3 Way Thickburger,"1/3 lb Bacon 3 Way Thickburger on a Bun w/ Beef Patty, Applewood Smoked Bacon Strips, Bacon Crumbles, Bacon Jam, Lettuce, Tomato & Cheese, Charbroiled Burgers",Burgers,352,g,880,50,65,46,250,14,18,13
Hardee's,1/3 lb Bacon Cheese Thickburger,"1/3 lb Bacon Cheese Thickburger on a Bun w/ 1/3 lb Beef Patty, Bacon, American Cheese, Tomato, Lettuce, Onion & Mayonnaise, Charbroiled Burgers",Burgers,348,g,900,59,54,40,259,17,16,11
Carl's Jr.,1/3 lb Budweiser Beer Cheese Bacon Thickburger,"1/3 lb Budweiser Beer Cheese Bacon Thickburger on a Toasted Premium Bun w/ Beef Patty, Budweiser Beer Cheese Sauce, Bacon Strips, Grilled Onions, Lettuce & Tomato, Charbroiled Burgers",Burgers,358,g,790,46,51,43,221,13,14,12
Hardee's,1/3 lb Budweiser Beer Cheese Bacon Thickburger,"1/3 lb Budweiser Beer Cheese Bacon Thickburger on a Toasted Premium Bun w/ Charbroiled Burger Patty, Budweiser Beer Cheese Sauce, Bacon Strips, Grilled Onions, Lettuce & Tomato, Charbroiled Burgers",Burgers,358,g,790,46,51,43,221,13,14,12
Hardee's,1/3 lb Cheeseburger,"1/3 lb Cheeseburger on a Bun w/ 1/3 lb Beef Patty, American Cheese, Onion, Ketchup, Mustard & Dill Pickle, Charbroiled Burgers, Thickburgers & Sandwiches",Burgers,256,g,640,35,55,31,250,14,21,12
Hardee's,1/3 lb Frisco Thickburger,"1/3 lb Frisco Thickburger on Sourdough Toast w/ 1/3 lb Beef Patty, Bacon, Swiss Cheese & Tomato Slices, Charbroiled Burgers",Burgers,300,g,860,59,46,43,287,20,15,14
Carl's Jr.,1/3 lb Low Carb Thickburger,"1/3 lb Low Carb Thickburger in a Iceberg Whole Leaf Lettuce w/ Black Angus Beef Patty, American Cheese, 2 Slices of Tomato, Red Onions, Dill Pickles, Mustard, Mayonnaise & Ketchup, Low Carb It, Better for You Options, Charbroiled Burgers",Burgers,259,g,450,34,9,22,174,13,3,8
Hardee's,1/3 lb Low Carb Thickburger,"1/3 lb Low Carb Thickburger in a Whole Leaf Lettuce Wrap w/ 1/3 lb Beef Patty, Cheese, Tomato, Red Onion, Ketchup, Mustard, Mayo, Lettuce & Dill Pickles, Charbroiled Burgers, Gluten Sensitive Menu, Low Carb It",Burgers,277,g,470,36,9,22,170,13,3,8
Hardee's,1/3 lb Mushroom & Swiss Thickburger,"1/3 lb Mushroom & Swiss Thickburger on a Bun w/ 1/3 lb Beef Patty, Melted Swiss Cheese & Mushrooms, Charbroiled Burgers",Burgers,267,g,690,40,52,34,258,15,19,13
Hardee's,1/3 lb Original Thickburger,"1/3 lb Original Thickburger on a Bun w/ 1/3 lb Beef Patty, American Cheese, Tomato, Lettuce, Red Onion, Mayonnaise, Ketchup, Mustard & Dill Pickles, Charbroiled Burgers, Thickburgers & Sandwiches",Burgers,358,g,820,53,56,32,229,15,16,9
Carl's Jr.,1/3 lb Thickburger El Diablo,"1/3 lb Thickburger El Diablo on a Fresh Baked Bun w/ Angus Beefsteak Patty, Jalapeno Popper Bites, Pepper Jack Cheese, Habanero Bacon Ranch Sauce, Bacon & Sliced Jalapenos, Charbroiled Burgers",Burgers,361,g,1070,64,79,39,296,18,22,11
McAlister's Deli,1/4 Gambino's Muffuletta Bread,"1/4 Gambino's Muffuletta Bread, Choose 2 Portion, Big & Bold Sandwiches, Choose 2",ToppingsIngredients,,,420,8,75,10,,,,
Jason's Deli,1/4 Ham & Salami Muffaletta,"1/4 Ham & Salami Muffaletta, Muffalettas; Choice of Adding: Chips, Baked Chips or One Time Salad Bar Trip",Sandwiches,,,590,,,,,,,
Hardee's,1/4 lb Bacon 3 Way Thickburger,"1/4 lb Bacon 3 Way Thickburger on a Bun w/ Beef Patty, Applewood Smoked Bacon Strips, Bacon Crumbles, Bacon Jam, Lettuce, Tomato & Cheese, Charbroiled Burgers",Burgers,339,g,820,46,65,41,242,14,19,12
Dairy Queen,1/4 lb Bacon Cheese Grillburger Combo,"1/4 lb Bacon Cheese Grill Burger Combo w/ 1/4 lb Bacon Cheese Grillburger, 21 oz Diet Coke & Crispy Fries, Combos",Burgers,,,800,43,66,34,,,,
Dairy Queen,1/4 lb Cheese GrillBurger Combo,"1/4 lb Cheese GrillBurger Combo w/ 1/4 lb GrillBurger w/ Cheese, Tomato, Lettuce, Pickles, Onions, Ketchup, Mayo, Regular Fries & 21 oz Diet Coke, Combos",Burgers,,,720,38,66,29,,,,
Checker's Drive-In/Rallys,1/4 lb Chicken Bites,"1/4 lb Chicken Bites w/out Sauce, Chicken & Fish",Entrees,,,380,24,20,21,,,,
Dairy Queen,1/4 lb Flame Thrower GrillBurger Combo,"1/4 lb Flame Thrower GrillBurger Combo w/ 1/4 lb Flame Thrower GrillBurger, Sauce, Pepper Jack Cheese, Jalapeno Bacon, Tomato, Lettuce, Regular Fries & 21 oz Diet Coke, Combos",Burgers,,,900,57,61,33,,,,
Hardee's,1/4 lb Frisco Thickburger,"1/4 lb Frisco Thickburger on Sourdough Toast w/ Charbroiled Beef Patty, Bacon, Swiss Cheese & Tomato Slices, Charbroiled Burgers",Burgers,277,g,810,55,46,37,292,20,17,13
Wendy's,1/4 lb Hamburger Patty,"1/4 lb Hamburger Patty, for Dave's Triple, for Dave's Single, for Dave's Double, for Baconator, Cheeseburgers",ToppingsIngredients,,,240,18,0,20,,,,
Hardee's,1/4 lb Little Thick Cheeseburger,"1/4 lb Little Thick Cheeseburger on a Sesame Seed Bun w/ 1/4 lb Beef Patty, American Cheese, Ketchup, Mustard, White Onions & Dill Pickles, Charbroiled Burgers, Thickburgers & Sandwiches",Burgers,171,g,450,25,33,23,263,15,19,13
Hardee's,1/4 lb Little Thickburger,"1/4 lb Little Thickburger on a Sesame Seed Bun w/ 1/4 lb Beef Patty, American Cheese, Tomato, Lettuce, Red Onion, Mayonnaise, Ketchup, Mustard & Dill Pickles, Charbroiled Burgers",Burgers,230,g,600,42,33,23,261,18,14,10
